Gene Symbol	KO1	KO2	KO3	KO4	KO5	WT1	WT2	WT3	WT4	WT5
S100a11	478.8	288.9	161.9	560.7	246.4	215.7	237	409.6	225.6	288.7
Nrbf2	285.7	307.6	259.6	401.3	348.3	220.9	273.1	461.6	287.2	338.6
Hacd2	589.7	581.8	437.2	579.2	417.7	418.7	642.8	583.1	477.8	390.5
Vrk3	50.8	59.4	48.5	64.6	55.5	49.4	56.1	53.3	52.4	50.5
Eif3k	585.1	762.8	489.6	769.4	598.4	436.8	633.8	1026.5	632.5	514.1
Mtatp8	283.3	290.2	233.1	313.7	243.9	216.7	269	338.8	275	241.1
Eif4a2	186.2	203.4	182.5	243.5	231	153.9	212.9	198	193.6	206
Selenot	82.8	88	70.7	104.4	82.1	73.7	87	96.5	72.7	70.5
Col3a1	217.4	234.4	161.1	254.9	231.3	167.8	230	326.3	179.5	229.7
Alb	9090.5	10563.9	9711.2	15354.5	8024.4	7665.1	11044	15801.3	9324.7	7501.3
Fmo4	42.9	39.4	32.9	43.9	38.1	30.8	42.5	41.9	38.3	29.6
Chmp7	12	15.4	13.7	14.4	20.4	11.7	13.7	19.9	13.6	10.7
Endog	418.1	416	372.8	456	389.6	389.6	475.9	412	371.6	340.1
Dnph1	30.1	32.9	18.9	37.4	37.3	26.8	23.9	41.8	24.9	27.9
ITIH4	767.9	940.2	641.8	1179.7	763	520.6	951.6	1421.1	741	645.3
Ppip5k2	178.3	199.9	147.3	285	200.6	161	196.2	198.1	197.5	164.4
Stat3	193.4	181.4	155.5	222.3	211.7	148.1	166.1	200.3	175.1	170.1
Phf5a	235	240	198.5	269.1	231.2	176.5	255	262.9	219.9	216.3
Ipo9	53.6	53.3	40.1	69.4	55.9	48.9	57.5	52.7	49.6	52.2
Osbpl8	467.3	426.6	345.2	517.4	454.6	341	475.4	491.2	413.7	357.2
Wasl	97.7	139.8	88.1	138.3	99.5	100.8	78.9	87.4	156.8	93.6
Tradd	50.2	56.9	48.5	69.3	70.5	40	50.9	78.3	60.9	51.6
Timm21	164.7	167	131.2	200.5	156.6	113.8	170.3	180.9	144.7	143.4
Gpld1	117.9	130.1	85.3	141.9	101.9	96.4	108.4	142.6	98.9	107.2
Lzic	343.5	379.7	302.8	479.6	412.9	265.5	331.2	464.7	335.6	390
Sf3a2	348.8	354	287.9	380.9	316.1	242.6	334.3	408.7	313.8	300.1
Tex264	229.1	234.2	196	277.8	203.7	183	236.8	266	233.8	208.4
Slc12a7	41.8	50.2	32.5	55.3	43.6	31.4	39.3	50.2	48	47.1
Notch2	43.8	59.4	37.8	63.5	49.8	34.7	41.6	58.8	47.6	48.7
Snx12	236.8	292.7	204.2	332.9	230.6	184.9	260.6	339.4	228.8	216.5
C3	4096.3	4198.5	4254.7	4947.1	4109	3865.3	4911.9	4221.2	3869.6	3766.8
Hspa2	550.7	802.2	509.8	784.5	628.8	508.1	691.4	912.8	600.9	507.9
Mrpl28	118.8	144.6	97.5	157.5	129.6	113.2	137.7	141.4	117.2	118.9
Pex5	1071.7	1367.3	905.2	1481.4	1335.2	877	1127.7	1674.4	1185.7	1121
Ccar1	155.9	198	147	218.8	186.5	151.1	177.8	208.1	172.1	178.9
Kxd1	219.2	200.4	167	323.7	200.7	155.2	231.3	231.3	196.4	156.8
Apof	165.4	167.2	131.8	201	150.9	125.3	159.3	192.9	163.5	118.1
Crp	61.8	83.7	58.4	85.4	71.4	61.4	71.9	79.8	80.4	64.6
Ambp	259.7	265.3	218.4	355.7	267.3	199.3	256.9	321.7	251.4	241
Fgg	553.4	641	507	645.1	574.4	512.7	610.5	539.9	604	520.2
Ufsp2	903.4	978.8	789	1289.6	859.4	692.8	1179.6	1278.5	874	821.2
F2	753.7	873.5	712	936.7	856.1	649.1	859.5	854.1	852.3	823.3
Rdh11	77.4	89.2	79.2	118.3	97.8	85	112.1	103.3	87.9	81.9
Ccdc9	50.1	58.1	39.6	62.2	44	32.3	53.9	73.1	36.7	50.1
Adss1	106.8	139.1	125.9	134.8	134.3	108.6	140.4	126.1	123.1	112.1
Maoa	248.5	290.3	225	305	263.1	212.5	262.1	304.4	250	231.3
Shroom1	94.9	99.2	76.9	119.2	109.1	72.7	82.8	121.2	91.9	101.5
Prrc2a	948	998.5	736.7	1254.8	972.2	650	1037.8	1301.9	853.4	880.4
Mrc1	29.4	39	28	37	32.6	37	34.5	37.6	31.8	28.8
Nop56	514.8	599	498.4	660.5	512.6	441.6	589.7	588	541.4	494.3
Shroom2	30.1	49.1	28	46.2	35.1	22.4	35.5	49.9	33.6	35.5
Mob1b	23.6	25.8	23.1	34.7	30.5	26.1	24.5	27.9	25.7	29.3
Ctnna2	82.1	107.2	89.4	122.4	103.5	81.8	105.4	110.6	109.7	109.4
Dpp4	2886.1	3062	2328.7	3625.4	2541	2434.3	3344.2	3270.7	2619.7	2512.8
Rmdn2	590.1	702.9	624	760.3	655.9	527.3	692.6	714.3	615.2	613.6
Siae	421.2	431.7	325.7	527.2	396.2	323.8	401.6	522.2	381.3	369
Prmt1	51.7	50.9	48.1	58.5	59.2	38.9	65.5	45.4	50	49.4
Cstb	669.9	828.5	582.4	885.6	684.2	527.1	714.8	992.7	765.1	628.7
Cnpy4	144.8	150.7	120.6	196	154.2	118.8	142.2	174.6	131.3	146.1
C7orf50	126.5	130.6	100.2	153.6	112.5	101.5	101.9	142.7	115.9	109.5
Timm44	2318.3	2327.3	1976.2	2700	2150	1943.6	2372.5	2319.5	2103.6	2155.9
Palld	348.5	391.1	309.5	541.8	438.8	293.7	363.2	424.4	337.4	364.1
Mrtfb	133.4	145.8	111.5	159.4	133	91.6	132.3	172.5	127.5	123.6
Steap4	327.8	332.7	256.2	340.9	322.5	275.3	328	329.5	319.5	255.7
Serpinb8	136.8	151.3	102.5	187.6	141.7	103.5	149.2	161.9	109.2	144.4
Ldhd	1477.4	1424.5	1314.3	1718.6	1377	1254.6	1462.6	1279.3	1359.8	1306.7
Prox1	139.9	181.5	136.7	178.8	145.1	103.4	136.4	173.5	141.5	136.8
Nmrk1	42.2	41.9	34.6	54.9	39.3	36.1	38.5	45.6	38.5	40.5
Capza1	22.9	27.2	24	26.1	21.3	18.2	32.8	25.4	22.2	25.3
Stom	355.5	377.3	313.7	421.9	364.8	305	376.2	416.1	347.7	329.2
Smarcc2	446.5	487.5	456.4	547.3	586.9	368.6	437.8	536.5	419.3	415.9
Huwe1	400.2	450.3	354.2	530.1	495.4	329	444.6	476.6	401.4	424.2
Slc25a45	459.3	483.8	436.7	590.5	494.8	396.1	528.5	527.5	464.3	463.1
Scp2	28244	25643.9	19794.7	34548.3	24409.8	19353.5	24104.9	31566	27158.3	22490.2
Trabd	155.3	164.5	146.9	175.5	143.2	124	168.1	165.9	146.3	124.9
Use1	511.9	571.1	434.9	656.3	538.4	391.8	503.7	642.9	507.8	556.1
Septin10	63.6	70.7	50.9	83.2	72.1	53.2	70.3	70.6	62.1	68
Cotl1	442	444.6	314.3	504.1	376.9	426.6	400.4	438.2	429.4	379.4
Mrpl22	182.8	190.1	164.5	227.7	183.3	150.4	187.6	208.5	178.9	176.7
Ndufaf4	1132.2	958.3	707.5	1224	837.3	721.7	837	1210.4	829.9	824
Ugt1a7	112.7	116.5	109.4	209.8	125.1	110.3	133.6	91.4	102.9	124
Ccdc134	84.6	96.7	76.3	128.3	80.4	66.1	79.9	103.8	85.1	86.1
Naa10	17.4	17.8	13.3	19	16.7	12.6	13.3	19.1	16.7	17.8
Ufc1	150	156.9	113.5	184.8	146.1	109.1	139.9	199.1	140.4	135.7
Col1a1	188.1	259	141.7	201.6	227.5	154.8	190.3	314	137.2	226.4
Rnf181	197.5	231.8	167.7	260	244	137.6	184.3	321.1	206.3	253.7
Sult1a1	1043.7	1474.1	1232.6	1431.9	1394.7	1274.8	1553.4	1479.9	1312.1	1252
Acsm3	1442	1369.1	1299.3	1506.7	1287.3	1128.2	1508.2	1295.9	1180	1187.6
Dnase2	61.3	69.4	49.7	77.4	54.8	48	61.9	73.4	72.9	57.3
Gnl3	15.2	24.1	19	26.5	23.5	18.2	20	20.9	21.2	20.6
Pik3r1	620.6	695.6	527.5	776.8	698.8	514	682.5	851	616.5	606
Insig2	117	105	86.9	139.3	108.6	122.1	102.2	114.5	156.2	100.2
Gpr180	46.5	48.6	45.8	61.5	51.8	39.1	54.2	44.9	53.8	51.8
Mrps34	145	155.1	140.1	164.8	149.8	132.6	136.7	165.8	141.1	137
Rps10	4716	4881.7	3804.9	5825.5	4425.4	3368.7	4558.3	6035.1	4459	4170.6
Dlst	5050.9	5010.3	4171.6	6087.4	4483.2	4183.1	5179.8	5579.3	4761.3	4303.7
Ube2g1	515.4	536.1	393.6	642.3	496	385.3	542.6	716.3	477.1	458
Gbf1	279.5	280.5	243.9	315.2	303.4	216.4	302.5	289.7	283.7	275.3
Eif5a	2629.3	3523.3	2173.3	3442.6	2633.3	2047.9	2729.4	4032.6	2761.1	2455.7
Oxsr1	466.5	565.7	426.2	654	555.4	426.6	466.9	552.8	528.4	486.8
Wdr33	230.7	239.3	213.6	290.1	253.8	182	242	296.7	230.4	247.1
Slc30a10	20.6	30.9	19.5	31.4	28.2	21.1	22.2	31.6	23	27.1
Anxa5	5966.4	8098	4332.7	10736.7	6364.7	5006.8	4488	9438.8	6128.5	6569
Fahd2a	1401.8	1398.7	1196.8	1647.8	1299.2	1219	1477.3	1510.2	1309.7	1222.9
Lsm6	463	517.3	407.7	569.1	483.1	377.7	514.8	616	439.6	437.5
Sorbs1	405.3	463.6	391.9	574.3	509.7	373.6	443.9	468.9	455.8	420.6
Flot2	352.6	356.7	289.6	411.2	355.6	294.6	333.7	394.1	316	319.1
Mtx3	68.4	72.8	57	85.6	58.9	46.3	88.7	75.8	67.9	62.3
CLEC3B	74.5	75.1	51.1	86	68.4	56.7	73.1	86.3	62.6	66.5
Stoml2	846.7	904.2	625.8	1054.9	770.3	646.1	878.9	1045.2	806.6	925.1
Tnks1bp1	896.9	1184.1	771.5	1270.1	1057.9	767.4	1081.1	1418.7	1057.8	969.3
Bcas2	372.3	417.9	307.8	466.4	362.5	237.1	307.9	437.8	448.5	495.5
Mrpl39	47.5	47	42.6	58.6	49.7	40.5	54.7	44.5	46.7	42.7
Tubb2b	44.8	49	47.6	73.5	58.6	43.5	59.3	55.5	56.2	55.4
Atp6v1d	35.1	41.5	33.7	46	44.3	31.4	36	48.5	40.2	34.8
Ipo5	174.7	202.1	154.7	236.5	184.1	142.3	197.4	251.3	188.3	162.4
Pebp1	1725.5	2245.4	1544.2	2383.2	1883.6	1259.9	1524	2657.8	1817.1	1881.9
Sec16a	1311	1513.5	1157	2004.5	1632.7	1128.9	1305.5	1629.4	1371.4	1475.5
Borcs6	43.1	40.8	38.1	67.6	47.3	37.8	47.5	56.3	40.2	36.9
Prpsap2	246.7	201.9	199.6	314	282.7	252.4	423.9	250.4	218.3	231
Capn2	2010.6	2093.8	1674.8	2786.3	2050.5	1456.7	2275.5	2655.6	1944.1	1883
Msrb1	174	184.3	133.9	232.3	165.2	134.4	186.8	263.4	164.6	148.3
Afg3l2	2377.5	2378.5	2044.5	2797.2	2136.2	1888.8	2502.5	2509.1	2072.5	2136.9
Srsf2	851.2	854.1	692.6	990.1	755.5	612.7	944.8	994.9	776.2	637.6
Ssb	1007.1	1124.7	838.8	1240.7	1085.9	832.6	1031.4	1218.3	994.1	948.1
Ssbp3	141.5	147.8	109.1	159.8	146.4	96.2	132.8	173.2	132	140.2
Tmlhe	230.7	219.1	195.3	244.8	230.2	228.8	226.4	193.3	219	238.2
Hint1	1142.9	1515.3	974.7	1553.1	1376.4	969.4	1303.9	1914.7	1237.7	1238.9
Proc	457.4	547.5	421.5	508.7	484	395.7	479.4	495.4	520.5	466.7
	87.7	123.9	89.5	153.7	124.6	87.1	95.1	138.2	115.7	106.3
Rgl3	63.3	57.2	44.3	77.3	57	46.6	58.6	58.6	58.8	59.6
Ctsa	246.3	280.8	232.6	297.6	241.3	219.1	247.5	290.3	276	228.2
Tsc22d3	18.2	21.4	20.3	32	25.7	19.3	18.1	31.2	22.3	23.2
Sec63	1795.9	1804	1466.3	2026.3	1719.3	1393.2	1788.2	1527.1	1688.5	1648.8
Cacybp	543.2	598.9	475.3	672.2	597.8	434.3	618.8	720.5	535.9	502.4
Ndufc2	398	416.1	385	475.5	392.8	345.2	465.8	428.8	379.8	362.7
Snrnp200	246.1	246.7	223.5	284.9	242.8	210.8	254.8	236.6	244	225.3
Prkag1	46.6	54.5	43.3	62.1	55.2	42.6	51.9	57.8	52	46.8
Ap1s1	134.2	138.7	110.1	160.6	142.9	108.2	136.4	157	128.2	133.4
Stxbp2	57.9	74.1	43.6	75.3	70.1	53.9	63.2	82	60	57.6
Hectd1	90.1	109.4	80.6	118.1	92.6	76.6	88.9	99.1	94.3	90.3
Asrgl1	396	478.1	404.4	511.6	496.5	390.8	414.7	516.2	421	476.1
Pex10	105.3	97.3	83.5	140	92.1	82.7	97.1	108.6	98.3	90
Suclg2	7044.6	7822.1	6521.3	8963	6898.2	6582.4	7259.9	8001.1	7610	6721.2
Coq8a	3215.2	3421.1	2784.7	3572.6	2764.9	2615.3	3454.1	3695.1	3014.6	2834
Gclm	193.7	236.6	174.1	258.7	197	165.7	199.9	253.1	187.8	209.4
Vps4b	481.8	608.9	400.4	609.3	547.8	406.8	497.6	662.1	494.9	466.9
Atad3	3584.8	3688.6	3189	4098.4	3478.5	3156.4	4109.1	3580.5	3367.7	3222.6
Kalrn	91.8	112.2	92.8	121.2	105.7	85.1	100.4	128.6	97.9	96.9
Tmem120a	20	19.4	18.4	24.4	17.6	16.5	16.8	20.9	29.1	22.5
Gch1	650.4	818.8	909	824.1	741	635.5	778.8	830.6	717.7	853.5
Baiap2	485.7	562.2	434.3	638.3	529.9	444.6	512.7	669.8	460.4	483.5
Pfn2	80.5	91.9	56.3	117.3	81.3	56.4	78.4	110.1	78.9	86
Irgm1	127.6	127.6	119.9	131.1	119.9	139.8	155.6	126.9	116.1	104.7
Abcg8	428.3	444.1	400	494.5	446.2	343.5	436.3	506.2	472.7	411.3
Ywhaq	2466.7	3063	2192.4	3168	2879.8	1990	2844.6	3364.3	2444.5	2430.3
Vps36	563.2	656.5	483.5	691.6	585.3	429.1	569.4	790.2	553	548.7
Uchl3	425.5	556.6	326.8	575.4	492.3	340.1	441	670	460.1	483.2
Casp3	121.1	155.9	124.9	170.4	150.7	105.6	155.4	181	149.2	134.1
Dlat	2138.3	2319.7	2076.1	2571.3	2192.1	2052	2330.5	2226.9	2171.5	1970.7
Stub1	124.6	152.4	86.1	147.4	113.7	88.2	131	175.8	123.5	89.5
Grb7	156.7	194.7	150.8	202.3	180	143.3	188.7	227.6	175.6	160.9
Krt8	17578.2	24376.9	13048.5	24194.6	21705.4	14530.7	18296.5	28727.5	19354.2	19346.5
Sephs1	143.5	174.7	120.6	190.9	148.4	121.8	143.4	180.5	144.4	134.3
Klc4	547.2	756.6	442.6	734.1	627.7	457.6	603.8	1009.5	645.2	563.5
Snap47	82.1	95	69.2	113.8	95.4	72.2	92.1	101	93	89.5
Afmid	95.7	113.8	79.4	101.1	101.8	79.7	99.6	120.5	93.9	88.4
Dsp	1008.8	1082.3	790	1281.2	1128.7	799.5	956.2	1353.4	1002.3	949.7
Pum2	109.3	110.6	78	123.3	112.2	84.1	109.7	126.6	101.9	94.7
Bid	323.5	383.5	289.6	371.1	352.4	276.2	362.9	386.9	300.3	320.2
Pde3b	87.3	86.9	72.8	96.1	76.9	69	69.9	96.1	78.1	70.8
Rab5b	158.8	185.5	135.9	198.3	162.8	134	169.7	190.5	153.4	158.9
Ca14	588.1	537.8	377.1	583.2	458.1	338.5	510.2	693.5	467	528.5
Tbrg4	420.6	418.5	373	469.1	345.3	327.2	438.4	430.2	361.9	360.7
Braf	42.6	44.1	50.7	67.1	63	45.5	58.3	44.9	53.9	62.7
Lcp1	2583.5	2948.5	1973.9	3006.2	2685.6	2148	2478.7	3512.8	2673.6	2361.9
Slc16a10	79	76	64	69.6	81.2	62.8	80.2	77.8	66.7	75.1
Mrpl13	43.6	66.2	38	70.3	70.9	47.7	50	70.5	58.1	52.2
Srp14	503.8	498	388.6	604.9	514.4	374.3	456.2	587.1	484.6	468
Kcnk2	294.4	309.5	243.9	298	286	230.8	308.7	301.7	303	309.2
Slc25a12	271.4	292.7	224.8	277.6	281.2	262.1	277.1	272	272.2	252.5
Luc7l2	301.8	345.6	338.9	377.2	338.1	254.4	368	374.7	280.4	345.3
Ube2k	541.5	671.1	412.6	655.2	544.6	432.9	588	825.3	549.6	481.5
Sypl1	155	196.8	158.8	219.6	178.6	147.2	205.9	236.6	148.9	168.9
Ywhaz	2669.3	3172.7	2125.8	3342.4	2775.5	2127.2	2726.8	3301	2679.7	2608.9
Bag4	25	32.8	30	40.3	35.7	27.4	25.2	49	31.1	33
Scfd1	704.2	745	576.2	838.1	719.3	577.6	720.7	777.6	688.2	644.8
Usp47	224.5	294.1	220.4	309.8	287.1	215.5	251.7	278.7	248.7	263.8
Snrnp70	384.8	457.7	391.5	460.6	432.1	344.3	440.4	496.5	418.6	396
Sptbn1	4892.9	5185	3935.4	6345.3	4895.7	3956.6	5149.4	5817.1	4866.1	4566.2
Rpl22	708.8	716.4	542.5	860.2	630.4	538.1	704.8	850.9	663.4	618.5
Cryl1	363.2	412.6	301.9	492.3	380.3	332.4	420.6	416.4	344.6	354.7
Gsta2	1528	1919.3	1438.3	1907.3	1685.9	1373.7	1476.3	2051.8	1623.8	1898
Hsdl2	959.9	1017	960.8	1193.8	1077.6	851.2	994.3	992.2	957.9	994.3
Flna	239.8	215.5	150.9	250.7	172	197.9	204.5	240.7	183.5	186.1
Slc38a3	398.6	435.2	361.1	521.3	456.6	345.2	473.8	576.7	389	372.5
Txlng	80.2	89.5	70.5	102.8	96.2	63.9	89.6	123.5	77.4	79
Gale	18.8	26.5	20.6	29.5	28.4	18.9	23.4	28.5	27.4	32
Atp5f1e	1492.3	1560.4	1416.3	1721	1245.5	1189.6	1639.1	1709.3	1234	1281.5
Retreg3	37.4	36	30.4	51.7	48.1	28.4	33.1	47.8	36.8	40.9
Gnpnat1	478.7	514.3	428.4	548.4	523.2	389.3	451.1	568.1	476.1	481.9
Bag1	194.2	219.8	175.1	258.4	242.4	145.3	199.2	303.2	198	230.2
Morf4l1	39.6	38.2	28.4	56.9	39.9	27.8	43.2	50	35.7	37.4
Pigs	115.1	109	72.8	121.2	107.4	79.4	109.1	120.5	95.9	100.1
Ppp2r5e	85.3	100.6	73.4	100.6	85.7	70.1	85.9	121.8	87.2	80.1
Idh3b	737.4	767.6	683.3	886.3	729.5	672.8	895.5	727	658	683.1
Retreg2	118.9	135.5	99.1	157.2	144.4	88.9	134.2	181.8	122.1	117.2
Myh10	402.8	396.2	366.9	543.3	446.3	322.2	461	471.4	475	409.7
Ggact	56.5	78.5	56.2	67.9	68	53.8	66	75.2	71.1	65.7
Adi1	1388.2	1751.3	1150.1	1723.1	1519.4	1060.5	1386.2	2039.6	1431.3	1328.2
Ascc3	134.1	162.3	124	173.1	152.9	115.9	158.5	152.9	140.2	146.4
Pex1	118.7	133.4	112.3	159.7	134.7	125.9	128.7	138.3	143.2	121.9
Ifi47	195.1	172.1	138.1	164.5	161.6	183.1	198.7	188.4	156.2	127
Hint2	1692.1	2051.3	1404.5	2122.8	1448.1	1445.8	1790.2	2340.6	1667.8	1288.8
Exosc7	172.2	176.9	149.8	203.4	179.7	144.6	181.7	202.9	169.5	186.2
Pdcl3	338.7	410.8	263.9	456.6	352.7	266.3	327.4	505.8	343.7	342.5
Erap1	2019.2	2092.5	1858.4	2217.3	2115.8	1953.6	2466.2	2000.6	1990.8	1802.7
Tnks1bp1	68.5	88.2	68.9	94.7	78.6	59.6	81.9	100.3	79.1	73.5
Abhd3	251.5	222.9	219.5	273.6	232.6	205.3	235.4	225.3	226.8	228.6
Adss2	403.3	385.8	356.2	510.9	404.3	296.6	489.3	495	397.8	371.3
Dtx3l	378.8	422.9	370.5	474.2	449.9	362	424.4	445.2	381.7	409.5
Dnajc7	209.4	254.1	208.4	254.5	238.9	193.6	254.6	279.7	237.5	220.1
Inmt	4307.5	6638.9	4924.5	5311.1	6003.1	4721.4	6773.6	5637.8	6213.6	5167.4
Acot8	96.7	84.7	82	106.2	101.8	96.3	98.1	85.9	92.8	103.3
Scamp3	61.2	59.9	40.3	74.9	59.4	45.9	72.7	69.9	57.7	64.8
Nfic	16.5	16.5	14.1	22.3	12.7	13.5	20.1	19.1	16.5	15.3
Cideb	141	148	128.6	164.3	133.5	111.1	148.6	181.1	135.5	127.1
Gstm6	338.1	411.8	331.1	465.2	388.4	340	379.5	491.5	374.7	341.4
Supt4h1a	340.3	407.6	294.6	357	360.6	250.8	335.1	420.9	336.1	323.2
Abcf3	181.7	197.3	164.1	241.2	226.9	152.6	226.9	204.4	186	215.8
Nap1l1	323.8	350.6	242.5	431.1	372.5	217.4	304.4	398.5	319.8	332
Mesd	303.4	372.7	264.6	383.9	329.6	257.6	343.8	381.9	340.6	284.2
Mrpl57	367.8	412.3	303.9	428.7	339	292.5	372.4	458.1	367.4	322.2
Dync1li2	23.8	24	24.4	29.2	24	19.9	24.1	23.4	25.3	28.9
Gltpd2	324.4	297.9	234.7	308.8	293	210.2	307.1	358.5	269.4	237.8
Ctnnd1	1747.1	1839.6	1445.1	2124.4	1707.1	1417	1920.1	2011.3	1634	1569.2
Ppp5c	178.3	223.6	177	215.3	215	170	208	214.2	211.6	210.4
Tubb2a	497.1	619	463.5	690.5	587.2	471.6	602.8	632.7	565.5	541.9
Tmem230	299.9	307.2	298.7	389.3	370.7	246.9	310.1	398.9	314.1	340.1
Ccar2	156.9	181	148	203.9	164.5	138.7	172.3	179.6	194.1	160.5
Sbds	291.2	312.1	263.5	337.3	425.3	240	320.3	309.9	293	300.1
Hmgcl	4119	3795.8	3201.4	5057.4	3655.5	3100.6	4042	4786.6	3519.2	3130.9
Tbcel	111.6	126.6	103.5	157.9	123.4	95.1	142.3	164	117.6	111.4
Lrrc47	67.7	73.7	58.1	95.9	73.4	53.5	67.1	88.2	70.4	64.3
Rabep2	191.5	220.8	159.9	280.4	229.9	127.8	167.2	269.3	202.1	191.9
Creg1	118.2	108	86.4	144.1	102.6	97.8	118.8	98.4	100.4	90.7
	3060.5	3195.1	2864.2	3731.7	3100	2745.3	3843	3399.1	3030.7	2858.4
Ubl7	97.9	107.4	99.9	132.7	105.2	84.3	113.9	124.2	106.5	108.8
Atl2	455	501.5	422.8	552.8	468.2	389.2	489.9	548.1	491.8	432.7
Eif4e	262.1	368.5	224.3	347	295.4	234.4	311.6	400.9	297.5	243.9
Ccs	327	415.2	308.4	412.3	352.4	286	383.6	509.1	366.1	330.7
Ddah1	1567.3	2071.7	1375	1860.8	1719.8	1319.4	1726.6	2587.8	1563.6	1560.8
Cab39l	138.4	157.9	112.5	193.3	203.7	142.7	120.7	163.5	147.5	137.3
Kpna1	50.8	60.3	44.6	65.6	64.4	43.5	58.9	62.7	54.2	58
Tbc1d15	225.2	280.1	208.3	305.8	259.6	186.6	243.4	307.4	249.9	237.2
Stam2	249.6	284.4	176.5	310.5	277.8	192.2	197.1	302.7	255.8	269.5
Uso1	2234.7	2520.9	2046.7	2792.6	2496.5	1900.3	2486.7	2756.3	2460	2306.6
Reps1	65.6	80.5	54.6	96	69.3	57.5	73.6	89.9	66.5	75.4
Ruvbl2	196.7	223.8	179.1	239.6	242.2	171.9	224.7	231.1	215.2	214.7
Arih1	233.8	261.6	191.7	345.4	269.2	200.9	244.7	274.3	262	255.1
Man2b1	2012.5	2316	1718.7	2291	2116.4	1713.5	2011.3	2405.8	2000.6	1884
Abcc2	2268.2	2505.3	2099.5	2979.8	2356.3	2124.8	2785.4	2441.1	2173	2215.6
Macf1	320.4	348.4	276.7	421.1	340	269	323.7	336.7	328.1	325.7
Ncbp2	90.9	93.4	85.7	117.6	89.7	66	83.5	123.1	90.1	91.5
Ywhab	350.2	426.5	317.5	444.2	374.9	302.9	401.7	433.2	374.9	367.3
	338.6	312.8	218.7	360.9	265.4	194.1	273.8	342.3	374.6	276.2
Timm50	100.6	114.3	84.3	129.9	112.5	89.4	118.8	125.1	93.5	96.9
Slc2a2	1588.8	1659.9	1372.5	1652.2	1436.6	1574	1905.5	1813.7	1490.8	1445.5
Dnaja2	643.2	782.6	624.8	836.8	793.1	601.5	746.9	821.4	733.2	734.2
Ptrh2	162.1	196.5	152.8	225.3	173.2	147.4	185.7	194.5	180.8	177.7
Rab43	285.1	349.4	278.3	384.5	326.6	297.3	352.2	345.1	349.4	299.4
Hexa	32.7	33	26.8	42.5	34.6	27.1	32.2	40.7	32.5	35.8
Rabif	143.7	179.7	117.1	182.5	147.8	112.2	144	198.8	145	139.8
Nadk2	1320.8	1529.5	1294.2	1621.3	1396.1	1298	1687.6	1467.8	1369.9	1283.4
Cwc25	82.6	76.2	61.2	122.1	88.1	54.6	70.7	99.3	82	84.6
Cnn2	108.1	124.9	83.4	116.8	84.7	84.2	99.1	114.6	93.5	100.3
Adhfe1	930.9	943.4	791.5	1139.7	833.8	783.4	1003.7	1079.9	902.4	816.3
Slc26a1	405.1	428.7	333.9	483	387.7	322.7	413	480.6	390	373.8
Gsr	1395	1390.9	1139.9	1659.3	1433.2	1138.3	1612	1583.8	1357	1264.7
Acmsd	38.6	42.6	28.3	58.2	44.6	34.4	34.6	46.6	38.9	37
Ctsd	2220.8	2451.7	1829	2439.4	1966.3	1937.5	2298	2515.3	2269.7	1866.7
Pcmtd1	113.7	118.1	86.7	141.3	97.8	90.9	116.3	155.4	122	91.2
Eefsec	147.9	177	138.4	219.1	165.5	143.3	169.3	189.4	162.3	154.5
Arcn1	1588	1805.7	1537.5	1892	1768.4	1461.8	1825.4	1631.3	1772.6	1553.4
Cfl2	1151.5	1486.7	1071.1	1646.5	1375.3	1082.6	1483.6	1834.3	1356.7	1281
Mylk	189.2	205.9	160.6	258.7	189.1	144.2	228.1	225.8	177.1	190.5
Lztfl1	149	166.1	117.4	176.4	152.5	115	131.9	190.8	157.2	142.2
Pter	997.9	1180.1	973	1196.9	1153.3	908.9	1266.2	1220.3	1022.5	1068.6
Fxr2	199.7	226.2	180.6	244.2	209.5	174.3	234.6	225.2	191.7	228.9
Pet100	105.5	109.9	58.9	103.6	78.2	60.5	94.9	128.5	84	71.2
Mccc1	1789.3	1829.3	1550.8	2156.1	1587	1585.8	1879.8	1900.2	1812.4	1677.9
Akr1c20	39.5	49.6	45.1	48	51	39.6	53.4	42.8	45.1	41.3
Ces1c	327.6	365.6	296.3	404.9	330.6	293.7	361.7	421.2	328.5	301.9
Mapk1	58	69.5	47.7	81.2	76.4	53.6	75.1	83	60.7	60.4
Echdc2	863.9	982.8	821.1	1063.7	924.9	831.6	1103.3	1008.6	880.6	858.5
Ndufv1	2539.8	2604.8	2391.6	3115.5	2337.4	2295.5	3279.4	2699.3	2527.4	2194.6
Angel2	41.4	50.8	33.2	53.7	40.7	37.1	41.6	49.7	45.7	35.7
Nnt	6378.3	6866.8	6331.3	7360.2	6338.3	6336.9	8065.2	6808.1	6159.2	5999.2
Copb1	1165.9	1330.5	1059.8	1530.9	1283.8	1003.2	1335	1460.8	1233.7	1169.3
Mrps23	422.9	480.3	358.7	530	415.2	356.3	454.1	501.8	439.6	407.8
Rps15	1174.1	1297.2	940.1	1401.1	1253.9	960.8	1143.8	1409	1196.8	1232
Pdha1	2281	2394	2114.8	2775.3	2262.8	2286	2804.6	2482.3	2253.1	2083.2
Evi5	267.1	307.4	251	358	293.1	234.1	318.7	339.5	311.4	306.6
Igf1	122.3	140.8	115.7	169.8	113	105.6	142.6	162.7	157.3	114.6
